,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,8.6,553.0,Unde la soare e frig,1991,Bogdan Dumitrescu,None,",剧情",",德国,罗马尼亚","311,罗马尼亚","169,爱情","129,黑白","115,罗马尼亚电影","86,德国","82,1990s","63,东欧",3153894
1,7.9,32877.0,Elementary,2012,迈克尔·科斯塔 Michael Cuesta,",约翰·李·米勒 Jonny Lee Miller,刘玉玲 Lucy Liu,艾丹·奎因 Aidan Quinn,Jon Michael Hill",",剧情,犯罪,悬疑",",美国","8739,美剧","5521,福尔摩斯","4692,推理","2560,悬疑","2263,美国","1955,CBS","1486,2012",10493928
2,9.7,7059.0,Nirvana: Unplugged In New York,1993,Beth McCarthy-Miller,",科特·柯本 Kurt Cobain,大卫·格鲁 David Grohl,克里斯特·诺沃塞克 Krist Novoselic,Lori Goldston",",纪录片,音乐",",USA","1984,Nirvana","915,unplugged","877,Live","866,摇滚","698,演唱会","630,音乐","618,纪录片",1449961
3,5.6,11397.0,Miami Vice,2006,迈克尔·曼 Michael Mann,",柯林·法瑞尔 Colin Farrell,杰米·福克斯 Jamie Foxx,巩俐 Li Gong,娜奥米·哈里斯 Naomie Harris",",动作,犯罪,剧情,惊悚",",美国,德国","1895,美国","1494,动作","1256,犯罪","751,警匪","546,2006","357,剧情","315,黑帮",1449962
4,6.2,368.0,Helle Nächte,2017,托马斯·阿斯兰 Thomas Arslan,",格奥尔格·弗里德里希 Georg Friedrich,特里斯坦·格贝尔 Tristan Göbel,玛丽·洛伊恩贝格尔 Marie Leuenberger,汉娜·卡尔伯格 Hanna Karlberg",",剧情",",德国,挪威","89,德国","51,2017","47,柏林电影节","47,挪威","46,剧情","28,德國電影","26,挪威电影",26746856
5,7.1,207.0,Beuys,2017,安德里斯·维利尔 Andres Veiel,None,",纪录片",",德国","91,纪录片","68,德国","31,艺术","31,2017","28,柏林电影节","16,紀錄片","14,Documentary",26746857
6,,0.0,Balkan Spirit,2013,Hermann Vaske,",玛瑞娜·阿布拉莫维奇 Marina Abramovic,安吉丽娜·朱莉 Angelina Jolie,斯拉沃热·齐泽克 Slavoj Zizek,亚斯米拉·茲巴尼克 Jasmila Zbanic",",纪录片",",德国","17,纪录片","6,德国","6,土耳其","3,2013","2,自20160701起标注介质之DVD","2,Hermann_Vaske","1,电影",26877931
7,7.5,60.0,Welcome to Hoxford: The Fan Film,2011,Julien Mokrani,None,",恐怖,短片",",法国","27,短片","23,恐怖","20,法国","11,暴力","7,欧美","4,电影","4,2011",10493931
8,,0.0,Brothers Three: An American Gothic,2007,Paul Kampf,None,",剧情",",美国","8,美国","2,Patrick-Wilson","1,谁放屁了？","1,美国电影","1,童年阴影","1,看上去很美","1,电影",3022842
9,3.4,155.0,위험한 섹스,2015,None,None,",爱情,惊悚",",韩国","272,情色片","243,情色","189,韩国电影","181,韩国","84,电影","63,限制级","51,2015",26615811
10,8.0,143.0,一个人的环法,2013,黎国明,None,",纪录片",",中国大陆","71,纪录片","28,骑行","24,旅行","23,勇气，毅力，体验","15,中国","13,紀錄片","11,大陆",25698309
11,7.2,316.0,Tamasha,2015,伊姆提阿兹·阿里 Imtiaz Ali,None,",剧情,喜剧",",印度","88,印度","63,爱情","61,印度电影","39,喜剧","34,人生","28,青春","28,剧情",25829388
