,score,num,name,year,directer,actors,type,country,tag1,tag2,tag3,tag4,tag5,tag6,tag7,id
0,7.9,44331.0,PTU,2003,杜琪峰 Johnnie To,",任达华 Simon Yam,邵美琪 Maggie Siu,林雪 Suet Lam,黄卓玲 Ruby Wong",",犯罪,剧情",",香港","9944,杜琪峰","6344,香港","4841,银河映像","3907,香港电影","3602,警匪","3013,任达华","2250,黑帮",1302434
1,7.5,45516.0,白ゆき姫殺人事件,2014,中村义洋 Yoshihiro Nakamura,",井上真央 Mao Inoue,绫野刚 Gô Ayano,菜菜绪 Nanao,金子统昭 Nobuaki Kaneko",",剧情,悬疑",",日本","9819,日本","7572,悬疑","4513,犯罪","3531,推理","3234,人性","2887,2014","2076,剧情",24858414
2,7.8,86278.0,笑林小子,1994,朱延平 Yen-ping Chu,",林志颖 Jimmy Lin,郝邵文 Shaowen Hao,释小龙 Siu Lung Sik,徐濠萦 Hilary Tsui",",喜剧",",香港,台湾","13759,喜剧","9611,香港","6921,林志颖","6600,香港电影","5160,搞笑","3884,台湾","3413,动作",1408312
3,4.9,82108.0,微微一笑很倾城,2016,赵天宇 Tianyu Zhao,",井柏然 Boran Jing,杨颖 Angelababy,李沁 Qin Li,王思聪 Sicong Wang",",爱情",",中国大陆","8153,爱情","6597,青春","6522,小说改编","5894,校园","5841,网游","4112,2016","3725,烂",26301582
4,5.7,61273.0,剩者为王,2015,落落 Luo Luo,",舒淇 Qi Shu,彭于晏 Eddie Peng,潘虹 Hong Pan,金士杰 Shi-Jye Jin",",剧情,爱情",",中国大陆,香港","6127,爱情","4604,舒淇","4139,彭于晏","2481,2015","2328,中国","1981,中国电影","1892,剩者为王",26279433
5,7.4,82951.0,青春派,2013,刘杰 Jie Liu,",董子健 Zijian Dong,秦海璐 Hailu Qin,咏梅 Mei Yong,焦刚 Gang Jiao",",剧情,爱情",",中国大陆","16532,青春","9382,成长","8291,高考回味","4480,大陆","4096,爱情","3921,2013","3782,中国电影",24735062
6,9.2,115347.0,시그널,2016,金元锡 Won-seok Kim,",李帝勋 Je-hoon Lee,赵镇雄 Jin-woong Jo,金惠秀 Hye-su Kim,张铉诚 Hyeong-seong Jang",",剧情,科幻,犯罪,悬疑",",韩国","20457,悬疑","19574,韩剧","18404,犯罪","13955,韩国","12876,推理","9809,剧情","8041,tvN",26310143
7,5.5,82264.0,我的早更女友,2014,郭在容 Jae-young Kwak,",周迅 Xun Zhou,佟大为 Dawei Tong,钟汉良 Wallace Chung,张梓琳 Eilin Zhang",",喜剧,爱情",",中国大陆","8880,爱情","6870,周迅","6069,喜剧","4570,佟大为","2924,2014","2827,中国电影","2666,中国",25834473
8,7.6,71598.0,太極張三豐,1993,袁和平 Woo-ping Yuen,",李连杰 Jet Li,杨紫琼 Michelle Yeoh,钱小豪 Siu-hou Chin,袁洁莹 Fennie Yuen",",喜剧,动作,武侠,古装",",香港","12064,李连杰","9515,动作","8496,香港","6420,武侠","4068,袁和平","3746,功夫","2730,1993",1294561
9,6.7,68903.0,Terminator Salvation,2009,约瑟夫·麦克金提·尼彻 McG,",克里斯蒂安·贝尔 Christian Bale,萨姆·沃辛顿 Sam Worthington,穆恩·布拉得古德 Moon Bloodgood,海伦娜·邦汉·卡特 Helena Bonham Carter",",动作,冒险,科幻,惊悚",",美国,德国,英国,意大利","14121,科幻","8563,美国","7454,动作","3350,终结者2018","3008,2009","2148,战争","2002,Terminator",1410556
10,8.7,112062.0,Lie to Me,2009,罗伯特·斯文克  Robert Schwentke,",蒂姆·罗斯 Tim Roth,凯利·威廉姆斯 Kelli Williams,莫妮卡·雷蒙德 Monica Raymund,布伦丹·海因斯 Brendan Hines",",犯罪,剧情,悬疑,惊悚",",美国","16777215,Drama","33964,美剧","20227,行为心理学","11277,推理","9529,犯罪","6830,TimRoth","6803,美国",3103678
11,9.2,74944.0,House of Cards,2014,朱迪·福斯特 Jodie Foster,",凯文·史派西 Kevin Spacey,罗宾·怀特 Robin Wright,凯特·玛拉 Kate Mara,迈克尔•吉尔 Michael Gill",",剧情,悬疑",",美国","15553,美剧","12115,政治","5392,KevinSpacey","5068,美国","3386,2014","3233,大卫·芬奇","3216,剧情",22523356
12,9.3,108038.0,Game of Thrones,2015,Michael Slovis,",艾米莉亚·克拉克 Emilia Clarke,彼特·丁拉基 Peter Dinklage,基特·哈灵顿 Kit Harington,琳娜·海蒂 Lena Headey",",剧情,奇幻,冒险",",美国","15490,美剧","9559,HBO","8466,史诗","8400,冰与火之歌","7007,奇幻","5859,美国","4983,魔幻",25826612
13,5.0,31593.0,進撃の巨人 ATTACK ON TITAN,2015,樋口真嗣 Shinji Higuchi,",三浦春马 Haruma Miura,长谷川博己 Hiroki Hasegawa,水原希子 Kiko Mizuhara,本乡奏多 Kanata Hongô",",动作,科幻,惊悚",",日本","4776,日本","3998,漫画改编","3350,日本电影","3174,科幻","2156,电影","2003,2015","1583,二次元",6866928
14,8.5,78581.0,天水圍的日與夜,2008,许鞍华 Ann Hui,",鲍起静  Hee Ching Paw,陈丽云 Lai-wun Chan,梁进龙 Juno Leung,陈玉莲 Idy Chan",",剧情",",香港","16892,许鞍华","14045,香港","10016,香港电影","7540,生活","5559,天水围的日与夜","4834,社会","3422,2008",3077668
15,7.1,56724.0,Malavita,2013,吕克·贝松 Luc Besson,",罗伯特·德尼罗 Robert De Niro,米歇尔·菲佛 Michelle Pfeiffer,迪安娜·阿格隆 Dianna Agron,约翰·德利奥 John D'Leo",",喜剧,动作,犯罪,惊悚",",法国,美国","6313,喜剧","5990,黑帮","5867,美国","5838,黑色幽默","4690,犯罪","3724,法国","2354,动作",10766459
16,7.5,54750.0,Stay,2005,马克·福斯特 Marc Forster,",伊万·麦克格雷格 Ewan McGregor,瑞恩·高斯林 Ryan Gosling,娜奥米·沃茨 Naomi Watts,凯特·伯顿 Kate Burton",",剧情,悬疑,惊悚",",美国","15457,悬疑","10086,心理","7303,美国","4723,惊悚","3929,剧情","3339,EwanMcGregor","2655,美国电影",1432180
17,8.3,80747.0,La migliore offerta,2013,朱塞佩·托纳多雷 Giuseppe Tornatore,",杰弗里·拉什 Geoffrey Rush,吉姆·斯特吉斯 Jim Sturgess,西尔维娅·侯克斯 Sylvia Hoeks,唐纳德·萨瑟兰 Donald Sutherland",",剧情,爱情,悬疑",",意大利","12459,悬疑","9523,意大利","8059,剧情","6722,爱情","4800,朱塞佩·托纳多雷","4555,人性","3974,意大利电影",7059671
18,8.3,58211.0,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,",马克·哈米尔 Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams",",动作,冒险,科幻",",美国","11703,科幻","7086,星球大战","6977,美国","4610,经典","3116,1980","2398,动作","1268,冒险",1296528
19,7.6,112836.0,Garfield,2004,Peter Hewitt,",Bill Murray,Jennifer Love Hewitt,Breckin Meyer,Stephen Tobolowsky",",喜剧,家庭",",美国","17337,动画","13871,加菲猫","13036,美国","10897,喜剧","5318,搞笑","5080,美国电影","3403,动画片",1308776
20,7.0,93125.0,Lara Croft: Tomb Raider,2001,西蒙·韦斯特 Simon West,",安吉丽娜·朱莉 Angelina Jolie,强·沃特 Jon Voight,伊恩·格雷 Iain Glen,诺亚·泰勒 Noah Taylor",",动作,冒险",",美国,英国,德国,日本","15114,动作","10421,美国","9750,AngelinaJolie","6149,科幻","5697,古墓丽影","5281,冒险","4503,美国电影",1293173
21,7.6,38112.0,Chef,2014,乔恩·费儒 Jon Favreau,",乔恩·费儒 Jon Favreau,约翰·雷吉扎莫 John Leguizamo,鲍比·坎纳瓦尔 Bobby Cannavale,斯嘉丽·约翰逊 Scarlett Johansson",",喜剧",",美国","6048,美食","5603,喜剧","5556,美国","2568,家庭","2350,亲情","2213,2014","2020,励志",24698878
22,7.2,72286.0,證人,2008,林超贤 Dante Lam,",谢霆锋 Nicholas Tse,张静初 Jingchu Zhang,张家辉 Nick Cheung,苗圃 Pu Miao",",动作,惊悚",",香港,中国大陆","9273,香港电影","7787,香港","7782,谢霆锋","6855,张家辉","5916,动作","4809,警匪","3640,张静初",3312344
23,5.7,65557.0,The Green Hornet,2011,米歇尔·冈瑞 Michel Gondry,",塞斯·罗根 Seth Rogen,周杰伦 Jay Chou,卡梅隆·迪亚茨 Cameron Diaz,克里斯托弗·沃尔兹 Christoph Waltz",",喜剧,动作,犯罪",",美国","8335,动作","7012,美国","5362,喜剧","3320,2011","1350,科幻","1087,青蜂侠","971,漫画改编",2147836
24,5.9,89449.0,新少林寺,2011,陈木胜 Benny Chan,",刘德华 Andy Lau,谢霆锋 Nicholas Tse,范冰冰 Bingbing Fan,成龙 Jackie Chan",",剧情,动作",",中国大陆,香港","11884,动作","5927,香港","2695,2011","2623,中国","2195,少林寺","1945,剧情","1252,大陆",4097023
25,6.0,78564.0,Clash of the Titans,2010,路易斯·莱特里尔 Louis Leterrier,",萨姆·沃辛顿 Sam Worthington,杰玛·阿特登 Gemma Arterton,麦德斯·米科尔森 Mads Mikkelsen,拉尔夫·费因斯 Ralph Fiennes",",动作,冒险,奇幻",",美国","11857,魔幻","11477,神话","9141,美国","4305,科幻","4051,动作","3026,3D","2474,奇幻",2131654
26,4.4,66827.0,横冲直撞好莱坞,2015,蒂姆·肯德尔 Timothy Kendall,",赵薇 Wei Zhao,黄晓明 Xiaoming Huang,佟大为 Dawei Tong,黎妍 Sarah Li Yan",",喜剧,动作,冒险",",中国大陆,香港,美国","6215,喜剧","3457,烂片","3253,2015","3175,搞笑","2878,中国大陆","2263,冒险","1747,动作",25908042
27,5.8,115617.0,被偷走的那五年,2013,黄真真 Chun-Chun Wong,",白百何 Baihe Bai,张孝全 Hsiao-chuan Chang,范玮琪 Christine Fan,安心亚 Amber An",",爱情",",中国大陆","17095,爱情","10857,白百何","8013,张孝全","4889,2013","4312,青春","3715,中国电影","3684,中国",20513059
28,6.1,136440.0,前任攻略,2014,田羽生 Yusheng Tian,",韩庚 Geng Han,姚星彤 Xingtong Yao,郑恺 Kai Zheng,王丽坤 Likun Wang",",喜剧,爱情",",中国大陆","22716,爱情","16603,喜剧","15467,韩庚","8044,中国大陆","7983,青春","5040,电影","4975,轻喜剧",24751754
29,8.6,66157.0,Everybody's Fine,2009,柯克·琼斯 Kirk Jones,",罗伯特·德尼罗 Robert De Niro,凯特·贝金赛尔 Kate Beckinsale,山姆·洛克威尔 Sam Rockwell,德鲁·巴里摩尔 Drew Barrymore",",剧情,家庭",",美国","13054,亲情","11997,美国","11213,家庭","8341,温情","4781,感人","4454,剧情","4025,人生",3041749
30,6.9,65141.0,The Adjustment Bureau,2011,乔治·诺非 George Nolfi,",马特·达蒙 Matt Damon,艾米莉·布朗特 Emily Blunt,弗洛伦斯·卡斯特里纳 Florence Kastriner,迈克尔·凯利 Michael Kelly",",爱情,科幻",",美国","11938,科幻","10510,美国","8915,爱情","3607,2011","3305,悬疑","3041,人生","2915,剧情",3569943
31,9.1,60100.0,El Empleo,2008,Santiago Grasso,None,",剧情,喜剧,动画,短片",",阿根廷","10720,动画短片","10269,短片","8041,阿根廷","7461,动画","4435,人性","3217,人的物化","2628,2008",3823425
