,number,rate,title,url,id,directors,year,actors,type,countries,summary
0,1,7.4,需要你！小美兮,https://movie.douban.com/subject/26977230/,26977230,金九晋,2017,"吉媤恩,徐智勋","剧情,喜剧,爱情",韩国,相貌平平的21岁女孩敬丹，从十年前就对自己的好朋友，帅帅的联宇一见钟情。由于对自己的外表不自信，敬丹始终没有勇气向联宇告白。然而，还有三个月联宇就要出国了，敬丹能在这期间改变自己吗？身边的女神朋友，会成为两人的助推还是阻碍？
1,2,6.4,雪崩行动,https://movie.douban.com/subject/25939432/,25939432,马特·约翰逊,2016,"马特·约翰逊,欧文·威廉姆斯,乔希·博尔斯,贾里德·拉伯","喜剧,惊悚",美国,"1967 年,四位 CIA 探員以拍攝紀錄片的名義,欲揭穿 NASA 阿波羅計畫,卻意外將自己一步步推向凶險的邊際。「阿波羅登月」被認為是美國最大的陰謀之一,不少人相信阿姆斯壯根本沒有踏上月球,導演以偽紀錄片形式讓觀眾親臨這段爭議歷史,更將正在拍《2001 太空漫遊》的庫柏力克也拉進陰謀論的說法裡。玩弄真實與虛構的界線,暗藏對冷戰時期的嘲諷。"
2,3,6.2,金刚：骷髅岛,https://movie.douban.com/subject/26309788/,26309788,乔丹·沃格特-罗伯茨,2017,"汤姆·希德勒斯顿,布丽·拉尔森,塞缪尔·杰克逊,约翰·古德曼","动作,奇幻,冒险",美国,"上世纪70年代，一支集结了科考队员、探险家、战地摄影记者、军人的探险队，冒险前往南太平洋上的神秘岛屿——骷髅岛。他们的到来惊扰了岛上之神——史上最大金刚。经过一番惨烈的激战之后，探险队员散落在了岛屿各处。此时，队员们才意识到这次探险并不是一次单纯的科考任务，而是去探索怪兽存在的证明。
在这片与世隔绝、危险密布的丛林，无数怪异的史前生物暗藏其中，时刻威胁着他们的生命。队员们还遇到了神秘的原始部落，金刚的身世和其守护岛屿的原因也被逐渐揭开，原来，恐怖阴森的骷髅岛上还蛰伏着更凶狠残暴的怪兽……"
3,4,5,夜色撩人,https://movie.douban.com/subject/26425075/,26425075,夏钢,2017,"王千源,余男,南宫珉,潘斌龙",剧情,中国大陆,芥子（余男 饰）与丈夫钟桥北（南宫珉 饰）是一对年轻的成功人士，某夜家中发生抢劫，身为丈夫的钟桥北没能保护妻子，从此平静的生活被打破。
4,5,6.6,老么,https://movie.douban.com/subject/26800977/,26800977,马大允,2017,"李枖原,郑满植,李絮,郑俊荣","喜剧,家庭",韩国,"这一家里有三口人，分别是没有正经工作、不懂事的长子成浩，装得挺像回事、结果啥也不行的二姐秀景，没有任何才华、光有外表的老三珠美。
某天在三口人面前突然出现了一个长得完全不像却据说有血缘关系的老幺——五乐。乱糟糟的三兄妹还不够，居然莫名其妙地变成了一家四口。
秀景把乐儿推给成浩，本以为乐儿就是一个大累赘，却没有想到他是解决一件惊天大事的唯一线索……"
5,6,5.6,花芯,https://movie.douban.com/subject/26757826/,26757826,安藤寻,2016,"村川绘梨,林遣都,安藤政信,藤本泉","剧情,情色",日本,父母之命，媒妁之言。园子（村川绘梨饰）嫁给了青年雨宫（林遣都 饰），婚后虽然生下孩子，可是园子对丈夫却没有半点儿依恋之情。不久，雨宫因工作原因带着园子搬到京都居住。借此机缘，园子邂逅了丈夫的上司越智（安藤政信饰）。她喜欢上这个潇洒得体的男性，而对方似乎也对其抱有好感。踟蹰犹豫都无法阻挡爱的脚步，不久他们便跨越了那条界限……
6,7,7.3,藤田嗣治,https://movie.douban.com/subject/25994698/,25994698,小栗康平,2015,"小田切让,中谷美纪,安娜·吉拉多特,玛丽·克雷默","剧情,传记",日本,在1920年代的巴黎，日本艺术家藤田嗣治为这城市所爱，他对于裸体女人的独特诠释折服了整个蒙帕尔纳斯艺术圈，他与凡东根、奇斯林、毕加索、蒙迪里阿尼等艺术大师私交甚笃，他的生活可谓多姿多彩，在二战的时候，他回到了祖国日本，他的生活与信仰被战争击碎了，他与自己的妻子隐居在日本北部小城青森，在乡下躲避战争，他也发现一个他从未了解的日本。
7,8,5.5,爆头：全面突袭,https://movie.douban.com/subject/26713424/,26713424,提莫·塔哈亚托,2016,"格尼德拉·毕摩,朱莉·埃斯特尔,戴维·叶诚万,切尔西·艾斯兰","剧情,动作,惊悚",印度尼西亚,一名重伤失忆男子，在实习女医生艾琳的悉心照护下恢复意识，什么也想不起来的他看见艾琳正在阅读《白鲸记》，决定将“以实玛利”当作自己的姓名。艾琳用尽心力要帮助他恢复记忆，朝夕相处的两人也逐渐发展出超乎一般医病的关系。而此时过去的黑暗席卷而来，黑帮绑架艾琳，唯有恢复记忆才能救出挚爱。
8,9,5.2,如果有荆棘,https://movie.douban.com/subject/26364085/,26364085,南茜·萨沃卡,2015,"海瑟·格拉汉姆,瑞秋·卡帕尼,詹森·刘易斯,曼森·库克",剧情,加拿大,时间来到1980年，克里斯托弗与妹妹凯茜在遥远的小城与儿子乔里和巴特过着平静的新生活，但是这平静却即将被打破。因为身材矮小常被欺凌的巴特性格孤僻，偶然间他和哥哥闯入了隔壁的房子，认识了新搬来的陌生黑衣蒙面女人。而种种迹象却表明，这个人与他的家庭和他的出身有着千丝万缕的联系，在巴特不断的追问之下，掩盖已久的谜团在一点点被这个女人揭开……
9,10,7,无限商社2016：危机的公司职员,https://movie.douban.com/subject/26877415/,26877415,张恒俊,2016,"刘在石,郑俊河,河东勋,朴明秀",剧情,韩国,"MBC综艺节目《无限挑战》""无限商社2016-危机的公司职员""将会在中秋的时候以特辑的形式公布第1、2部，届时观众们能够看到更多背后的制作花絮故事。那么无限商社什么时候播出，哪一位成员的演技最好呢？
此前，《无限挑战》全员参与、BigBang成员G-Dragon、李帝勋等人友情加盟拍摄的《无限商社》首播。权志龙从2011年7月《高速公路歌谣祭》开始就和《无限挑战》结下缘分，之后并连续出演《高速公路歌谣祭》。同时在2013年播出的《无限挑战-无线商社》中隐藏自己的身份，饰演社长儿子的一角，搞笑的演技引发观众爆笑。"
