Id,Label,timeset,modularity_class,clustering,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,componentnumber,strongcompnum
99550697,,,0,0.333333,0,3,3,0,3,3,8,0.240143,0.285235,0,0,0.000792,0,13
nyserq,,,0,0.166667,3,1,4,3,1,4,8,0.234657,0.263242,62,0.030897,0.002776,0,11
41758984,,,0,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001016,0,12
80722428,,,0,0.044444,8,4,12,8,4,12,7,0.305164,0.364505,1204.870635,0.121884,0.006698,0,11
dalaoshi9999,,,10,0,1,1,2,1,1,2,7,0.24812,0.279582,66,0.001794,0.001464,0,14
veverlee,,,10,0.0299,43,5,48,43,5,48,6,0.325,0.391026,2883.527165,0.95743,0.049244,0,11
119113192,,,10,0,0,1,1,0,1,1,8,0.201201,0.224343,0,0,0.000792,0,15
58570436,,,2,0,0,4,4,0,4,4,8,0.250936,0.310252,0,0,0.000792,0,17
angle223,,,1,0,13,1,14,13,1,14,2,0.666667,0.75,212,0.078271,0.013543,0,2
rakumm,,,2,0.016667,16,0,16,16,0,16,0,0,0,0,0.170155,0.013487,0,1
49213881,,,2,0.160714,6,2,8,6,2,8,8,0.265306,0.313242,18.000216,0.044957,0.001821,0,11
lithiumberry,,,2,0.166667,1,3,4,1,3,4,7,0.304147,0.36176,48.633117,0.001794,0.00096,0,16
cazze,,,5,0,1,1,2,1,1,2,8,0.282609,0.321813,34.794048,0.012275,0.001072,0,11
69290051,,,14,0.047312,25,11,36,25,11,36,7,0.386905,0.486557,2685.275672,0.465276,0.023282,0,11
zuosan,,,1,0.1,6,2,8,6,2,8,7,0.298165,0.341941,192.79246,0.23767,0.012367,0,11
imecstasy,,,1,0.085714,15,4,19,15,4,19,7,0.317073,0.380916,821.257937,0.688115,0.030424,0,11
willdawn,,,1,0,0,4,4,0,4,4,8,0.264,0.330465,0,0,0.000792,0,18
TERRYBEAR,,,1,0,2,2,4,2,2,4,1,1,1,9,0.024718,0.012471,0,2
yinxiang,,,2,0.028812,47,4,51,47,4,51,8,0.268595,0.33119,1587.115232,0.901187,0.058456,0,11
shezaizuyi,,,1,0.066667,6,0,6,6,0,6,0,0,0,0,0.110678,0.003446,0,3
wenzel,,,12,0.019568,39,2,41,39,2,41,8,0.257937,0.304634,1630.003463,0.639071,0.046657,0,11
ingwerstein,,,12,0.166667,3,2,5,3,2,5,9,0.207006,0.24246,164.045238,0.136529,0.022092,0,11
1815039,,,14,0.179487,10,8,18,10,8,18,7,0.340314,0.429634,1834.545704,0.510135,0.030721,0,11
3310354,,,2,0.1,4,3,7,4,3,7,8,0.251938,0.30478,594.826923,0.021734,0.003447,0,11
3718831,,,14,0.15415,18,16,34,18,16,34,6,0.396341,0.527692,3069.273385,1,0.042919,0,11
58059498,,,14,0.051051,35,6,41,35,6,41,7,0.345745,0.426044,2198.661036,0.792737,0.037513,0,11
Rabit43127157,,,5,0,0,2,2,0,2,2,8,0.255814,0.293705,0,0,0.000792,0,19
sho_chiu,,,5,0.166667,4,1,5,4,1,5,7,0.26749,0.293993,31.25,0.045962,0.002988,0,11
shaomao1,,,5,0.2,6,3,9,6,3,9,7,0.3125,0.369377,136.105952,0.362548,0.010408,0,11
63730928,,,2,0,1,1,2,1,1,2,8,0.259843,0.295869,0.5,0.002755,0.000947,0,20
Makoto614,,,2,0.144444,1,10,11,1,10,11,7,0.371429,0.47348,1273.042749,0.152368,0.00438,0,11
abin520918,,,1,0.139493,2,23,25,2,23,25,6,0.481481,0.618462,1240.747519,0.062012,0.00234,0,11
satan163,,,14,0.074074,25,9,34,25,9,34,7,0.349462,0.447582,2813.326632,0.882142,0.037996,0,11
metkee,,,2,0,1,0,1,1,0,1,0,0,0,0,0.025077,0.001164,0,6
FrankWasabi,,,1,0.083333,12,3,15,12,3,15,8,0.275424,0.329249,437.643651,0.511864,0.019915,0,11
xiubei,,,2,0.5,1,1,2,1,1,2,1,1,1,0,0.025077,0.001164,0,5
36795841,,,3,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,1,22
AveryShen,,,3,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,1,21
fszzsndjdbxd,,,5,0.333333,0,3,3,0,3,3,7,0.304147,0.356205,0,0,0.000792,0,23
chunsue,,,5,0.022689,35,8,43,35,8,43,7,0.361111,0.446044,3917.470094,0.775574,0.044172,0,11
rlly503,,,5,0,0,2,2,0,2,2,7,0.282051,0.325397,0,0,0.000792,0,24
heptahedron,,,4,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,2,26
lauraxue,,,4,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,2,25
dreamsun_94,,,2,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,27
Huxinghang510,,,14,0.45,4,5,9,4,5,9,7,0.351351,0.416813,894.002237,0.212524,0.006916,0,11
46815070,,,14,0,2,0,2,2,0,2,0,0,0,0,0.090155,0.002815,0,4
53269895,,,16,0.214286,5,4,9,5,4,9,8,0.3125,0.375916,186.78486,0.142207,0.004586,0,11
3982646,,,12,0,1,2,3,1,2,3,8,0.22807,0.266978,8.285714,0.032414,0.005719,0,11
2003629,,,12,0,2,2,4,2,2,4,7,0.251938,0.292344,232.952381,0.18442,0.011594,0,11
tuta,,,9,0,2,2,4,2,2,4,8,0.244681,0.290994,136,0.007796,0.001822,0,29
hualala,,,14,0.233333,1,6,7,1,6,7,7,0.316514,0.398827,198,0.004688,0.001566,0,29
dormant,,,9,0,2,2,4,2,2,4,9,0.198276,0.233535,71,0.006482,0.001902,0,29
75805315,,,14,0.25,5,3,8,5,3,8,7,0.306604,0.366044,425.412302,0.493574,0.020227,0,11
48198672,,,2,0,2,2,4,2,2,4,9,0.203125,0.240537,267,0.011633,0.003822,0,11
37313645,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,30
75609687,,,14,0,0,1,1,0,1,1,8,0.282051,0.320725,0,0,0.000792,0,31
gegejing,,,1,0,3,4,7,3,4,7,7,0.262097,0.322601,239.56627,0.10302,0.011217,0,11
Sammyzheng,,,16,0.333333,3,0,3,3,0,3,0,0,0,0,0.041378,0.002663,0,9
thecatintherye,,,5,0.081818,2,11,13,2,11,13,7,0.365169,0.465275,1261.628427,0.057409,0.003627,0,11
tildali1214,,,16,0,2,1,3,2,1,3,9,0.215232,0.248962,11,0.029553,0.003696,0,11
helicopter,,,12,0,2,2,4,2,2,4,9,0.210031,0.247661,133,0.00511,0.003346,0,32
TheGZMovieGuy,,,12,0,1,1,2,1,1,2,10,0.174026,0.197501,0,0.004063,0.002214,0,32
66184715,,,1,0,0,2,2,0,2,2,8,0.249057,0.293092,0,0,0.000792,0,33
shuangyugongjue,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,34
4175111,,,10,0,1,1,2,1,1,2,7,0.246212,0.27619,0,0.177391,0.009163,0,11
56411248,,,0,0,1,4,5,1,4,5,8,0.270588,0.331315,132,0.004423,0.001547,0,36
2946082,,,0,0,2,2,4,2,2,4,9,0.216301,0.257097,69,0.006746,0.001778,0,36
questwoo,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,37
blueshadow,,,12,0.009524,12,3,15,12,3,15,6,0.329949,0.384103,680.542063,0.035405,0.006483,0,11
verrivanii,,,2,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,38
louis_li,,,12,0,1,1,2,1,1,2,11,0.149888,0.172732,0,0.003058,0.001766,0,39
some_Ji,,,12,0,1,2,3,1,2,3,10,0.175853,0.211182,66,0.003058,0.002293,0,39
chrisWen,,,7,0,1,1,2,1,1,2,8,0.227273,0.262125,0,0.042206,0.002684,0,11
Death1nJuly,,,7,0.25,4,5,9,4,5,9,7,0.292793,0.367473,278.458333,0.268383,0.011129,0,11
catherinehman,,,5,0.15,3,5,8,3,5,8,6,0.363128,0.422821,1789.261364,0.165157,0.008305,0,11
chen1776,,,5,0,2,0,2,2,0,2,0,0,0,0,0.014069,0.001206,0,10
byebyebadman,,,5,0.15,2,3,5,2,3,5,8,0.290179,0.348223,245.991667,0.024019,0.001158,0,11
fotox,,,16,0.017857,8,1,9,8,1,9,8,0.208333,0.238681,82.366667,0.059261,0.005231,0,11
jiangziwen,,,6,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,3,40
maydaysweety,,,6,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,3,40
151844672,,,7,0,1,2,3,1,2,3,8,0.228669,0.267982,66,0.003058,0.002293,0,41
54300054,,,7,0,1,1,2,1,1,2,9,0.18663,0.210673,0,0.003058,0.001766,0,41
48687824,,,7,0.071429,7,2,9,7,2,9,7,0.287611,0.341832,186.028571,0.225357,0.006653,0,11
12388561,,,12,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,42
along,,,12,0.071429,7,0,7,7,0,7,0,0,0,0,0.217703,0.01445,0,0
57774716,,,10,1,0,2,2,0,2,2,7,0.290749,0.333478,0,0,0.000792,0,43
accelerator21,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,44
1058726,,,5,0,0,1,1,0,1,1,8,0.268293,0.304058,0,0,0.000792,0,45
sweetnnuthin423,,,12,0,0,2,2,0,2,2,7,0.244444,0.284885,0,0,0.000792,0,46
mrdalloway,,,8,0,1,1,2,1,1,2,0,0,0,0,0.003058,0.000792,4,47
74058657,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,48
yupian,,,9,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,50
octo8,,,9,0,3,0,3,3,0,3,0,0,0,0,0.005381,0.002474,0,49
158574352,,,14,0.5,1,2,3,1,2,3,8,0.273109,0.318223,0,0.084905,0.004056,0,11
ruo222,,,2,0,1,1,2,1,1,2,9,0.212418,0.243834,0,0.168342,0.013214,0,11
hankluo,,,10,0.1,2,5,7,2,5,7,7,0.309524,0.379634,302.119048,0.143305,0.005821,0,11
niguize,,,10,0,1,0,1,1,0,1,0,0,0,0,0.025806,0.001781,0,7
nangle,,,1,0,1,2,3,1,2,3,7,0.286344,0.332454,7.502778,0.152368,0.00438,0,11
S.Q.X,,,2,0.5,1,1,2,1,1,2,9,0.213816,0.24768,0,0.152368,0.00438,0,11
137763528,,,14,0,0,1,1,0,1,1,8,0.282051,0.320725,0,0,0.000792,0,51
119429128,,,10,0.666667,3,3,6,3,3,6,8,0.20597,0.246825,34,0.019868,0.00429,0,52
157237265,,,10,0.666667,3,3,6,3,3,6,8,0.20597,0.246825,34,0.019868,0.00429,0,52
153950189,,,10,1,2,2,4,2,2,4,9,0.171642,0.20203,0,0.015248,0.003222,0,52
156064887,,,10,0.333333,2,3,5,2,3,5,7,0.255556,0.303658,198,0.015248,0.003222,0,52
67374495,,,2,0.166667,0,3,3,0,3,3,8,0.29386,0.350764,0,0,0.000792,0,54
ZebraBookstore,,,2,0.5,1,1,2,1,1,2,9,0.214286,0.247715,0,0.001794,0.001016,0,53
45749483,,,10,0,0,2,2,0,2,2,8,0.244444,0.285877,0,0,0.000792,0,55
aaaaaaaaaaa,,,10,0,3,0,3,3,0,3,0,0,0,0,0.007056,0.001664,0,8
131719688,,,11,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,5,56
chesterchoi,,,11,0,1,1,2,1,1,2,1,1,1,0,0.003058,0.005273,5,56
YYDEE,,,10,0.166667,0,3,3,0,3,3,7,0.270492,0.325541,0,0,0.000792,0,57
iorl,,,12,0.066667,3,7,10,3,7,10,7,0.285088,0.371575,183.395238,0.02368,0.004088,0,11
147019613,,,14,0,0,3,3,0,3,3,7,0.254753,0.302274,0,0,0.000792,0,59
Amelieyou,,,14,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001016,0,58
3407891,,,12,0.5,0,2,2,0,2,2,9,0.223729,0.267394,0,0,0.000792,0,60
david214,,,10,0,2,5,7,2,5,7,7,0.288889,0.352967,428.734524,0.012012,0.001815,0,11
pussio,,,14,0.25,2,3,5,2,3,5,6,0.309524,0.359231,625.542857,0.035291,0.002512,0,11
Bplus,,,10,0,1,3,4,1,3,4,8,0.287611,0.342326,209.306349,0.005192,0.0011,0,11
orangeumoon,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,61
huitianyou,,,12,0,1,1,2,1,1,2,10,0.174026,0.197501,0,0.003058,0.001766,0,62
a3san,,,12,0,1,2,3,1,2,3,9,0.210031,0.247661,66,0.003058,0.002293,0,62
61276700,,,10,0,0,1,1,0,1,1,7,0.24812,0.279582,0,0,0.000792,0,63
63661558,,,7,0,2,2,4,2,2,4,7,0.250965,0.291575,277.164286,0.179185,0.0095,0,11
126028524,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,64
typhanie,,,2,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,65
53983091,,,10,0,0,1,1,0,1,1,7,0.24812,0.279582,0,0,0.000792,0,66
141283048,,,5,0,0,1,1,0,1,1,8,0.268293,0.304058,0,0,0.000792,0,67
ivanshark,,,5,0,2,1,3,2,1,3,8,0.226481,0.26619,48.166667,0.008562,0.001456,0,11
43846305,,,12,0,0,1,1,0,1,1,9,0.207547,0.236261,0,0,0.000792,0,68
55340250,,,2,0,0,1,1,0,1,1,9,0.203704,0.234367,0,0,0.000792,0,69
148975016,,,14,0,0,1,1,0,1,1,8,0.282051,0.320725,0,0,0.000792,0,70
exploremore,,,9,0,0,2,2,0,2,2,10,0.169451,0.204309,0,0,0.000792,0,71
76785140,,,1,0,0,2,2,0,2,2,8,0.289474,0.336634,0,0,0.000792,0,72
youngriver,,,2,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,73
kurillaz,,,5,0,0,4,4,0,4,4,6,0.310502,0.366422,0,0,0.000792,0,75
suzanne1005,,,5,0,2,1,3,2,1,3,1,1,1,1,0.00511,0.00588,0,74
direvil,,,1,0,0,3,3,0,3,3,7,0.279661,0.331602,0,0,0.000792,0,76
luoshuiyunshang,,,9,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,0,77
135867497,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,78
50491497,,,10,0,0,1,1,0,1,1,8,0.213166,0.242717,0,0,0.000792,0,80
petertang,,,10,0.066667,4,3,7,4,3,7,7,0.266932,0.319439,78.035714,0.010851,0.002051,0,79
a2555,,,14,1,0,2,2,0,2,2,8,0.286957,0.334614,0,0,0.000792,0,81
Hurtbreak,,,5,0,2,1,3,2,1,3,9,0.214286,0.247715,9.866667,0.003588,0.00115,0,82
lzzzzzfbee,,,10,1,0,2,2,0,2,2,7,0.286957,0.33373,0,0,0.000792,0,83
31528814,,,0,0,0,2,2,0,2,2,8,0.287554,0.334595,0,0,0.000792,0,85
yanluohan,,,0,0,2,1,3,2,1,3,9,0.207547,0.236261,4.5,0.003588,0.00124,0,84
doodieblah,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,86
xiongyede,,,12,0,0,2,2,0,2,2,7,0.257812,0.297511,0,0,0.000792,0,87
4426368,,,12,0,0,1,1,0,1,1,7,0.250951,0.279076,0,0,0.000792,0,88
foofights,,,5,0,1,1,2,1,1,2,1,1,1,0,0.004063,0.005785,0,74
yamap9thApr.,,,12,0,0,3,3,0,3,3,7,0.314286,0.366053,0,0,0.000792,0,89
59715109,,,0,0.05,0,5,5,0,5,5,7,0.292576,0.362225,0,0,0.000792,0,90
2429292,,,0,0,4,0,4,4,0,4,0,0,0,0,0.008754,0.001836,0,35
115552732,,,0,0.095238,1,7,8,1,7,8,7,0.334906,0.411066,19.65,0.004423,0.00107,0,92
53886643,,,0,0,2,3,5,2,3,5,7,0.312775,0.366231,10.833333,0.006746,0.000982,0,92
83671494,,,10,0,0,1,1,0,1,1,7,0.24812,0.279582,0,0,0.000792,0,93
56959224,,,0,0,0,2,2,0,2,2,9,0.198795,0.234584,0,0,0.000792,0,94
134500343,,,1,0,0,1,1,0,1,1,8,0.243542,0.275415,0,0,0.000792,0,95
36149701,,,5,0,0,2,2,0,2,2,8,0.280851,0.325271,0,0,0.000792,0,96
138168992,,,0,0,1,2,3,1,2,3,10,0.179221,0.212589,2,0.004423,0.001547,0,36
nieblalan,,,2,0.069444,1,8,9,1,8,9,7,0.311628,0.409986,67,0.001794,0.001464,0,97
boks,,,16,0,3,2,5,3,2,5,8,0.270833,0.315147,274,0.149769,0.006438,0,11
scaryzion,,,16,0,2,1,3,2,1,3,9,0.217391,0.244438,5.5,0.015117,0.000939,0,11
nevertori,,,9,0,1,0,1,1,0,1,0,0,0,0,0.004379,0.0016,0,28
54277204,,,14,0,2,2,4,2,2,4,9,0.2125,0.248185,68,0.006746,0.003931,0,98
sunny.de.sky,,,14,0,1,2,3,1,2,3,8,0.266667,0.315704,132,0.004423,0.002462,0,98
46721798,,,14,0,1,1,2,1,1,2,10,0.175711,0.198273,0,0.004423,0.002462,0,98
zhoujiaqi,,,12,0.5,0,2,2,0,2,2,9,0.223729,0.267394,0,0,0.000792,0,99
yestrovsky,,,12,0,0,1,1,0,1,1,9,0.207547,0.236261,0,0,0.000792,0,100
49612534,,,14,0,1,1,2,1,1,2,7,0.285088,0.331575,0,0.162968,0.003072,0,11
2472867,,,14,0.466667,0,6,6,0,6,6,7,0.338462,0.418326,0,0,0.000792,0,101
81834646,,,7,0,0,2,2,0,2,2,8,0.236559,0.281133,0,0,0.000792,0,102
wangyi_fly,,,5,0.35,0,5,5,0,5,5,6,0.33,0.396465,0,0,0.000792,0,103
131616351,,,13,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,6,105
47904693,,,13,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,6,104
bigsheng,,,14,0,0,2,2,0,2,2,8,0.264822,0.312953,0,0,0.000792,0,107
Black2018,,,14,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001128,0,106
74561416,,,1,0.1,0,5,5,0,5,5,7,0.305556,0.377417,0,0,0.000792,0,108
90028520,,,14,0,0,1,1,0,1,1,8,0.259843,0.295869,0,0,0.000792,0,109
127588837,,,14,0,0,1,1,0,1,1,8,0.282051,0.320725,0,0,0.000792,0,110
46665080,,,12,0,1,2,3,1,2,3,9,0.210031,0.247661,66,0.003058,0.002293,0,111
50438518,,,12,0,1,1,2,1,1,2,10,0.174026,0.197501,0,0.003058,0.001766,0,111
29907289,,,15,0,0,1,1,0,1,1,1,1,1,0,0,0.000792,7,113
AlohA0407,,,15,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001464,7,112
84381652,,,7,0.166667,0,3,3,0,3,3,7,0.284483,0.338672,0,0,0.000792,0,114
102691619,,,10,0,0,2,2,0,2,2,7,0.258824,0.302561,0,0,0.000792,0,115
1722091,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,116
bridge3water,,,5,0,0,1,1,0,1,1,8,0.268293,0.304058,0,0,0.000792,0,117
63401608,,,12,0,0,1,1,0,1,1,10,0.175711,0.201949,0,0,0.000792,0,118
141749699,,,16,0,0,2,2,0,2,2,9,0.176781,0.210762,0,0,0.000792,0,120
108077404,,,16,0,1,0,1,1,0,1,0,0,0,0,0.001794,0.001128,0,119
elingwu,,,1,0,0,1,1,0,1,1,3,0.5,0.611111,0,0,0.000792,0,121
minsi,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,122
zoejuan,,,2,0,0,1,1,0,1,1,9,0.214286,0.247715,0,0,0.000792,0,123
41521988,,,5,0,0,2,2,0,2,2,6,0.304147,0.347727,0,0,0.000792,0,124
