Id,Label,timeset,modularity_class,clustering,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,componentnumber,strongcompnum,
wenzel,,,16,0.019568151,39,2,41,39,2,41,8,0.257936508,0.3046337,1630.003463,0.639071328,0.046657446,0,11,0
rlly503,,,16,0,0,2,2,0,2,2,7,0.282051282,0.325396825,0,0,7.92E-04,0,24,0
helicopter,,,16,0,2,2,4,2,2,4,9,0.210031348,0.247660507,133,0.005110057,0.003346138,0,32,0
TheGZMovieGuy,,,16,0,1,1,2,1,1,2,10,0.174025974,0.197500592,0,0.004062757,0.002213718,0,32,0
chen1776,,,16,0,2,0,2,2,0,2,0,0,0,0,0.014068757,0.001206444,0,10,0
huitianyou,,,16,0,1,1,2,1,1,2,10,0.174025974,0.197500592,0,0.003057605,0.001766016,0,62,0
a3san,,,16,0,1,2,3,1,2,3,9,0.210031348,0.247660507,66,0.003057605,0.002292723,0,62,0
43846305,,,16,0,0,1,1,0,1,1,9,0.20754717,0.236261424,0,0,7.92E-04,0,68,0
Hurtbreak,,,16,0,2,1,3,2,1,3,9,0.214285714,0.247715248,9.866666667,0.003587658,0.001150468,0,82,0
zhoujiaqi,,,16,0.5,0,2,2,0,2,2,9,0.223728814,0.26739418,0,0,7.92E-04,0,99,0
yestrovsky,,,16,0,0,1,1,0,1,1,9,0.20754717,0.236261424,0,0,7.92E-04,0,100,0
46665080,,,16,0,1,2,3,1,2,3,9,0.210031348,0.247660507,66,0.003057605,0.002292723,0,111,0
50438518,,,16,0,1,1,2,1,1,2,10,0.174025974,0.197500592,0,0.003057605,0.001766016,0,111,0
102691619,,,16,0,0,2,2,0,2,2,7,0.258823529,0.302561328,0,0,7.92E-04,0,115,0
63401608,,,16,0,0,1,1,0,1,1,10,0.175710594,0.201949113,0,0,7.92E-04,0,118,0
coreless,,,16,0,0,5,5,0,5,5,7,0.294372294,0.359943978,0,0,7.92E-04,0,145,0
34117542,,,16,0,1,0,1,1,0,1,0,0,0,0,0.001793829,9.26E-04,0,144,0
xumanman,,,16,0,0,1,1,0,1,1,9,0.20754717,0.236261424,0,0,7.92E-04,0,153,0
hjscez,,,16,0,0,3,3,0,3,3,9,0.214511041,0.263626284,0,0,7.92E-04,0,157,0
porKiller,,,16,0,1,0,1,1,0,1,0,0,0,0,0.001793829,0.001015895,0,156,0
73122249,,,16,0,0,1,1,0,1,1,9,0.20754717,0.236261424,0,0,7.92E-04,0,162,0
little-wen,,,16,0,0,1,1,0,1,1,9,0.20754717,0.236261424,0,0,7.92E-04,0,180,0
smileykiko,,,16,0,0,2,2,0,2,2,7,0.282051282,0.325396825,0,0,7.92E-04,0,182,0
